"CSVFile.Version","File","Size","Commit number","Loc touched","Loc added","Max loc added","Avg loc added","Churn","Max churn","Avg churn","Authors numbers","buggy"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/RoleTabPanel.java","100","1","100","100","100","100","100","100","100","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/RolesPanel.java","187","1","187","187","187","187","187","187","187","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/SchedTasks.java","274","2","283","274","262","262","274","262","137","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/StatusPanel.java","174","1","174","174","174","174","174","174","174","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/SyncTasks.java","295","2","331","308","282","282","295","282","147","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/UserDetailsPanel.java","107","1","107","107","107","107","107","107","107","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/UserManagementResultPanel.java","357","1","357","357","357","357","357","357","357","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/UserSearchPanel.java","609","2","635","615","600","600","609","600","304","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/VirtualAttributesPanel.java","185","1","185","185","185","185","185","185","185","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/AbstractBaseRestClient.java","34","2","44","39","39","39","44","39","22","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/ApprovalRestClient.java","48","2","51","48","44","44","48","44","24","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/ConfigurationRestClient.java","72","2","77","72","66","66","72","66","36","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/ConnectorRestClient.java","201","4","220","202","180","180","201","180","50","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/EntitlementRestClient.java","50","2","52","50","48","48","50","48","25","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/ExecutionRestClient.java","31","1","31","31","31","31","31","31","31","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/InvalidPolicyType.java","31","1","31","31","31","31","31","31","31","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/LoggerRestClient.java","80","2","86","80","73","73","80","73","40","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/NotificationRestClient.java","72","3","96","73","64","64","72","64","24","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/PolicyRestClient.java","191","2","209","191","181","181","191","181","95","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/ReportRestClient.java","111","3","126","112","102","102","111","102","37","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/ResourceRestClient.java","72","2","78","72","68","68","72","68","36","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/RoleRestClient.java","104","2","110","104","92","92","104","92","52","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/SchemaRestClient.java","306","2","342","306","300","300","306","300","153","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/TaskRestClient.java","193","3","223","193","178","178","193","178","64","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/UserRequestRestClient.java","60","3","68","60","54","54","60","54","20","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/UserRestClient.java","167","2","188","167","157","157","167","157","83","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/WorkflowRestClient.java","39","2","45","39","37","37","39","37","19","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/wicket/ajax/form/AbstractAjaxDownloadBehavior.java","48","1","48","48","48","48","48","48","48","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/wicket/ajax/markup/html/IndicatingDeleteOnConfirmAjaxLink.java","50","1","50","50","50","50","50","50","50","1","false"
